Folder	ConsManifesto2015	ConsManifesto2015_Rel_Freq	GreenManifesto2015	GreenManifesto2015_Rel_Freq	LabourManifesto2015	LabourManifesto2015_Rel_Freq	LibdemManifesto2015	LibdemManifesto2015_Rel_Freq	PlaidCymruManifesto2015	PlaidCymruManifesto2015_Rel_Freq	SNPManifesto2015	SNPManifesto2015_Rel_Freq	UKIPManifesto2015	UKIPManifesto2015_Rel_Freq	TOTAL	TOTAL_Rel_Freq	RANGE	Log_Likelihood	Dispersion_DP	Dispersion_DPnorm	
went	1 	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	2 	0.01	4	0.00	3	7.68	0.59	0.66	
went_on	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.86	0.85	0.95	
went_with	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.04	0.78	0.87	
were	13 	0.04	28 	0.07	4 	0.02	11 	0.03	2 	0.01	4 	0.02	22 	0.08	84	0.05	7	24.14	0.23	0.26	
west	0	0.00	0	0.00	1 	0.01	0	0.00	1 	0.01	2 	0.01	0	0.00	4	0.00	3	10.24	0.71	0.78	
west_Wales	0	0.00	0	0.00	0	0.00	0	0.00	2 	0.01	0	0.00	0	0.00	2	0.00	1	9.30	0.90	1.00	
west_coast	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	2	0.00	2	4.90	0.68	0.76	
western	2 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	3	0.00	2	7.30	0.69	0.77	
wetland	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	2	0.00	2	4.13	0.64	0.71	
wetlands	0	0.00	1 	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	2	0.00	2	3.71	0.60	0.67	
wetter	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.04	0.78	0.87	
whales	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.04	0.78	0.87	
whaling	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.63	0.84	0.93	
what	13 	0.04	59 	0.15	4 	0.02	14 	0.04	4 	0.02	4 	0.02	24 	0.09	122	0.07	7	58.49	0.32	0.35	
whatever	5 	0.02	4 	0.01	0	0.00	0	0.00	4 	0.02	0	0.00	4 	0.02	17	0.01	4	17.40	0.38	0.42	
wheel	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.44	0.82	0.91	
wheelchair	0	0.00	0	0.00	0	0.00	2 	0.01	0	0.00	0	0.00	0	0.00	2	0.00	1	6.88	0.82	0.91	
wheelchair-users	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.44	0.82	0.91	
wheels	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.86	0.85	0.95	
whelks	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.86	0.85	0.95	
when	27 	0.09	38 	0.10	27 	0.15	27 	0.08	8 	0.05	4 	0.02	53 	0.20	184	0.10	7	48.75	0.19	0.21	
whenever	1 	0.00	2 	0.01	0	0.00	1 	0.00	1 	0.01	0	0.00	2 	0.01	7	0.00	5	3.83	0.25	0.28	
where	31 	0.11	49 	0.12	22 	0.12	55 	0.17	25 	0.14	4 	0.02	30 	0.11	216	0.12	7	28.77	0.11	0.12	
whereas	1 	0.00	2 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	3	0.00	2	5.89	0.62	0.69	
whereby	1 	0.00	4 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	4 	0.02	9	0.00	3	13.86	0.53	0.58	
wherein	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.86	0.85	0.95	
wherever	6 	0.02	2 	0.01	2 	0.01	7 	0.02	7 	0.04	0	0.00	1 	0.00	25	0.01	6	18.26	0.36	0.40	
whether	11 	0.04	5 	0.01	6 	0.03	8 	0.02	5 	0.03	3 	0.02	7 	0.03	45	0.02	7	5.66	0.14	0.16	
whether_or_not	1 	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	0	0.00	1 	0.00	3	0.00	3	5.55	0.59	0.66	
which	57 	0.19	82 	0.21	28 	0.16	86 	0.27	47 	0.27	36 	0.20	70 	0.27	406	0.23	7	11.73	0.08	0.09	
whichever	2 	0.01	1 	0.00	1 	0.01	0	0.00	0	0.00	2 	0.01	1 	0.00	7	0.00	5	6.37	0.35	0.39	
